,acode,Month,total,airport,city,state,country,lat,long,delayed,fpm,dpf
1106,HOU,11,49199,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,4391,11.20450922
1105,HOU,9,49067,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,1,4908,9.997351263
2382,SNA,6,48774,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3805,12.81839685
1537,MCI,7,48765,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,5485,8.890610757
395,BUR,1,48604,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,1,2311,21.03158806
2102,RNO,3,48316,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,1,2346,20.59505541
532,CMH,6,48297,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1,3374,14.31446354
1943,PHL,10,48037,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,1,8630,5.566280417
2385,SNA,1,47864,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3724,12.8528464
499,CLE,1,47782,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,1,4916,9.719690806
2367,SMF,8,47674,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3702,12.87790384
2415,STL,11,47644,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972,1,11760,4.051360544
1770,MSY,8,47437,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4424,10.72264919
35,ABQ,6,47433,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,3045,15.5773399
661,DCA,4,47289,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,1,8063,5.864938608
171,BDL,3,47286,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,1,3216,14.70335821
281,BNA,7,47064,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4914,9.577533578
2383,SNA,7,46868,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3965,11.82042875
1534,MCI,4,46730,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,5211,8.967568605
2322,SJC,11,46673,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,1,4996,9.342073659
2360,SLC,9,46497,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,6180,7.523786408
1542,MCI,3,46432,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,5330,8.711444653
2106,RNO,12,46339,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,1,1943,23.84920226
1780,MSY,1,46260,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4465,10.36058231
1584,MEM,12,46222,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,3728,12.39860515
2340,SJU,2,46218,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,2370,19.50126582
2104,RNO,2,46170,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,1,2124,21.73728814
2375,SNA,3,46111,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3681,12.52675903
29,ABQ,7,46081,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,3199,14.404814
2363,SMF,5,45968,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3424,13.42523364
614,DAL,12,45802,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,3377,13.56292567
96,ANC,6,45697,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1,2297,19.89420984
1581,MEM,1,45579,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,4909,9.284783052
1544,MCO,5,45551,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,1,8853,5.145261493
1637,MIA,11,45433,Miami International,Miami,FL,USA,25.79325,-80.29055556,1,5195,8.745524543
623,DAL,4,45400,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,4107,11.05429754
1804,OAK,10,45393,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,5265,8.621652422
1779,MSY,7,45183,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4395,10.28054608
97,ANC,7,45157,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1,2512,17.97651274
496,CLE,3,45079,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,1,4934,9.136400486
1862,ONT,8,44906,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,3185,14.09921507
390,BUR,4,44719,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,1,2237,19.99061243
2041,PVD,6,44632,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,1,2627,16.98972212
2374,SNA,11,44189,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3232,13.67233911
398,BUR,12,44160,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,1,2004,22.03592814
1095,HNL,6,44101,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,3373,13.07471094
1941,PDX,11,44059,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,3984,11.05898594
2181,SAT,2,43976,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,1,2903,15.1484671
650,DCA,1,43907,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,1,8382,5.238248628
1927,PBI,1,43851,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,1,2136,20.52949438
2379,SNA,2,43760,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3326,13.15694528
133,AUS,2,43745,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,1,3349,13.06210809
2376,SNA,12,43645,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3266,13.36344152
1631,MIA,12,43523,Miami International,Miami,FL,USA,25.79325,-80.29055556,1,5387,8.079264897
2341,SJU,9,43475,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,1631,26.65542612
1087,HNL,3,43206,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,3441,12.55623365
1536,MCI,5,42967,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,5423,7.923105292
1986,PIT,5,42652,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,1,9510,4.484963197
2148,RSW,3,42643,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,1,1999,21.33216608
1864,ONT,3,42593,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,3106,13.71313587
660,DCA,7,42214,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,1,8103,5.209675429
1278,JAX,3,42147,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,1,2398,17.57589658
536,CMH,8,42045,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1,3489,12.05073087
177,BDL,2,41834,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,1,2860,14.62727273
396,BUR,3,41789,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,1,2313,18.06701254
2380,SNA,10,41767,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3501,11.93001999
601,CVG,12,41670,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5222,7.979701264
1920,PBI,2,41586,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,1,2279,18.24747696
2369,SMF,6,41394,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3461,11.96012713
542,CMH,2,40792,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1,3073,13.27432476
27,ABQ,8,40611,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,3275,12.40030534
1088,HNL,2,40525,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,3126,12.96385157
1865,ONT,12,40512,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,2652,15.2760181
2377,SNA,4,40509,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3555,11.39493671
1156,IAD,5,40494,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,4723,8.573787847
1760,MSP,11,40464,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,1,10436,3.877347643
1157,IAD,12,40331,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,3970,10.15894207
1778,MSY,10,40130,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4023,9.975142928
2087,RDU,7,40122,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,1,3330,12.04864865
173,BDL,1,40103,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,1,3152,12.72303299
306,BOS,10,40082,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,1,9262,4.327575038
2348,SJU,7,39958,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,2235,17.87829978
1861,ONT,4,39745,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,3020,13.16059603
1586,MEM,5,39651,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,5008,7.917531949
1277,JAX,6,39596,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,1,2248,17.613879
131,AUS,3,39198,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,1,3742,10.47514698
1867,ONT,7,39025,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,3154,12.37317692
124,AUS,6,38972,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,1,3762,10.35938331
26,ABQ,3,38956,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,3004,12.96804261
2174,SAT,3,38815,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,1,3205,12.11076443
1590,MEM,11,38624,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,3561,10.84639146
1987,PIT,9,38560,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,1,8770,4.396807298
1149,IAD,1,38213,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,4591,8.323458941
1919,PBI,4,38112,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,1,2464,15.46753247
528,CLT,9,38021,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,1,10829,3.511035183
2353,SLC,5,37960,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,6566,5.781297594
2355,SLC,11,37934,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,1,5729,6.621399895
2042,PVD,3,37855,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,1,2546,14.86842105
128,AUS,8,37767,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,1,3862,9.779129984
537,CMH,4,37723,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1,3294,11.452034
501,CLE,12,37655,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,1,3846,9.790691628
28,ABQ,2,37610,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,2681,14.02834763
1929,PBI,6,37599,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,1,2133,17.62728551
179,BDL,6,37494,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,1,3197,11.72786988
2076,RDU,3,37350,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,1,2987,12.5041848
534,CMH,3,37168,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1,3365,11.04546805
502,CLE,2,37113,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,1,4484,8.27676182
2372,SMF,11,36895,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3165,11.65718799
1984,PIT,10,36817,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,1,7625,4.828459016
817,EWR,5,36568,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,1,10770,3.395357474
2045,PVD,2,36152,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,1,2327,15.53588311
535,CMH,7,36045,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1,3441,10.47515257
132,AUS,1,35842,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,1,3737,9.591115868
1923,PBI,8,35775,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,1,2189,16.34307903
2049,PVD,7,35302,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,1,2716,12.99779087
1276,JAX,7,35073,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,1,2267,15.47110719
2523,TUL,2,34802,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,1,1810,19.22762431
658,DCA,5,34678,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,1,8319,4.168529871
1885,ORF,6,34605,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,1,1555,22.25401929
1091,HNL,7,34426,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,3512,9.8023918
2501,TPA,5,34355,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,1,5945,5.778805719
1548,MCO,9,34333,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,1,8102,4.237595655
175,BDL,7,34270,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,1,3290,10.41641337
2325,SJC,10,34266,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,1,5587,6.133166279
1769,MSY,5,34097,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4493,7.588916092
1772,MSY,4,33949,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4392,7.729735883
2110,RNO,4,33830,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,1,2211,15.30076888
2082,RDU,12,33744,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,1,3670,9.194550409
1535,MCI,12,33581,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,4559,7.365869708
379,BUF,8,33356,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,1,1956,17.05316973
272,BNA,4,33300,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4766,6.986991188
2103,RNO,8,33252,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,1,2211,15.03934871
811,EWR,9,32950,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,1,9864,3.340429846
1291,JFK,11,32923,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,1,3485,9.447058824
1286,JFK,10,32791,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,1,4143,7.914796042
615,DAL,9,32766,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,3812,8.595487933
1209,IND,2,32694,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,1,2966,11.0229265
523,CLT,10,32557,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,1,8915,3.651934941
1869,ONT,6,32510,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,3057,10.63460909
2528,TUL,6,32417,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,1,1976,16.40536437
1094,HNL,8,32254,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,3456,9.33275463
2538,TUS,2,32189,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278,1,1566,20.55491699
2343,SJU,11,32084,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,2033,15.78160354
280,BNA,12,32061,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4297,7.461252036
1829,OKC,6,32001,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,1,1867,17.14033208
388,BUR,8,31569,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,1,2443,12.92222677
1932,PDX,10,31475,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,4079,7.716352047
2127,ROC,3,31382,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,1,1466,21.40654843
99,ANC,10,31361,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1,1529,20.51079137
1089,HNL,5,31350,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,3382,9.269662921
2179,SAT,1,31123,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,1,3230,9.635603715
2244,SDF,6,31105,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736,1,1842,16.88653637
1090,HNL,4,30867,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,3293,9.373519587
1619,MHT,8,30723,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,1,1479,20.77281947
2093,RIC,6,30638,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,1,1659,18.46775166
1773,MSY,12,30571,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,3945,7.749302915
2077,RDU,4,30561,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,1,2993,10.21082526
1830,OKC,2,30417,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,1,1748,17.40102975
2109,RNO,7,30373,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,1,2235,13.58970917
2535,TUS,1,30148,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278,1,1734,17.38638985
1206,IND,12,30024,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,1,2799,10.7266881
498,CLE,7,29930,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,1,4564,6.557843996
98,ANC,3,29846,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1,1470,20.30340136
2339,SJU,6,29833,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,2330,12.80386266
34,ABQ,4,29760,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,3010,9.887043189
394,BUR,11,29713,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,1,1937,15.33970057
95,ANC,2,29685,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1,1306,22.72970904
389,BUR,7,29675,Burbank-Glendale-Pasadena,Burbank,CA,USA,34.20061917,-118.3584969,1,2394,12.39557226
2175,SAT,8,29638,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,1,3265,9.077488515
1281,JAX,8,29621,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,1,2261,13.10084034
274,BNA,5,29519,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4936,5.98034846
2371,SMF,10,29429,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,1,3362,8.753420583
105,ANC,12,29315,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1,1493,19.63496316
2378,SNA,5,29195,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,1,3744,7.797809829
2503,TPA,12,28914,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,1,5409,5.345535219
2130,ROC,1,28876,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,1,1583,18.24131396
2508,TPA,9,28839,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,1,5547,5.199026501
1883,ORF,8,28633,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,1,1654,17.31136638
32,ABQ,5,28501,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,3101,9.190906159
1096,HNL,10,28448,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,2707,10.50905061
1828,OKC,1,28321,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,1,1943,14.57591354
620,DAL,11,28307,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1,3459,8.183579069
2123,ROC,2,28070,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,1,1395,20.1218638
1837,OMA,2,27977,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,1,1420,19.70211268
1211,IND,1,27932,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,1,3340,8.362874251
2342,SJU,12,27875,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,2342,11.90222032
503,CLE,4,27873,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,1,4897,5.691852154
1579,MEM,9,27864,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,4656,5.984536082
2245,SDF,7,27821,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736,1,1928,14.42997925
2048,PVD,1,27776,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,1,2552,10.88401254
383,BUF,6,27774,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,1,1865,14.8922252
1580,MEM,10,27728,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,1,3665,7.565620737
1213,IND,3,27551,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,1,3278,8.404820012
1274,JAX,2,27345,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,1,2140,12.77803738
386,BUF,7,27291,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,1,1943,14.04580546
769,ELP,1,27104,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,1,1917,14.13875848
129,AUS,9,27104,Austin-Bergstrom International,Austin,TX,USA,30.19453278,-97.66987194,1,3478,7.792984474
36,ABQ,12,27008,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1,2910,9.281099656
1839,OMA,6,26925,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,1,1608,16.74440299
594,CVG,4,26909,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5647,4.765185054
1538,MCI,9,26834,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,5103,5.258475407
104,ANC,1,26820,Ted Stevens Anchorage International,Anchorage,AK,USA,61.17432028,-149.9961856,1,1524,17.5984252
598,CVG,11,26788,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1,5179,5.172427109
772,ELP,2,26632,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,1,1705,15.61994135
73,ALB,8,26568,Albany Cty,Albany,NY,USA,42.74811944,-73.80297861,1,1500,17.712
1533,MCI,10,26293,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,1,4826,5.448197265
2347,SJU,4,26261,Luis Munoz Marin International,San Juan,PR,USA,18.43941667,-66.00183333,1,2471,10.6276811
1216,IND,4,26248,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,1,3209,8.17949517
2156,RSW,6,26237,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,1,1341,19.56524981
2541,TUS,3,26188,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278,1,1766,14.82899207
234,BHM,6,26080,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,1,1615,16.14860681
2094,RIC,2,26044,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,1,1479,17.6091954
543,CMH,5,25919,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1,3452,7.508400927
1858,ONT,5,25772,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,3163,8.147960797
1935,PDX,5,25727,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,1,4775,5.387853403
2079,RDU,2,25685,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,1,2706,9.491869919
1884,ORF,7,25652,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,1,1611,15.92302917
892,FLL,9,25506,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,1,4131,6.174291939
282,BNA,10,25475,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1,4395,5.796359499
2128,ROC,6,25255,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,1,1442,17.51386963
1863,ONT,11,24995,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1,2630,9.503802281
764,ELP,6,24891,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,1,1834,13.57197383
2154,RSW,1,24815,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,1,1754,14.14766249
2124,ROC,8,24786,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,1,1394,17.7804878
1272,JAX,1,24671,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,1,2386,10.33989941
2078,RDU,1,24606,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,1,3097,7.945108169
1086,HNL,1,24601,Honolulu International,Honolulu,HI,USA,21.31869111,-157.9224072,1,3428,7.176487748
2030,PSP,2,24462,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,1,928,26.35991379
765,ELP,7,24364,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,1,1914,12.72936259
1624,MHT,6,24324,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,1,1382,17.60057887
2253,SDF,8,24263,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736,1,1904,12.74317227
959,GEG,8,24202,Spokane Intl,Spokane,WA,USA,47.61985556,-117.5338425,1,1134,21.34215168
2056,PWM,8,24104,Portland International Jetport,Portland,ME,USA,43.64616667,-70.30875,1,1008,23.91269841
1813,OGG,3,23926,Kahului,Kahului,HI,USA,20.89864972,-156.4304578,1,1477,16.19905213
1574,MDW,11,23906,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,1,3937,6.072136144
1805,OAK,9,23902,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,1,5315,4.497083725
767,ELP,4,23832,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,1,1832,13.00873362
2037,PSP,3,23670,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,1,1052,22.5
530,CLT,11,23609,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,1,9376,2.518024744
1456,LIT,6,23389,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556,1,1341,17.4414616
2089,RIC,8,23345,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,1,1725,13.53333333
963,GEG,1,23274,Spokane Intl,Spokane,WA,USA,47.61985556,-117.5338425,1,1119,20.79892761
226,BHM,8,23220,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,1,1712,13.56308411
2529,TUL,1,23161,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,1,1992,11.62700803
1147,IAD,11,23152,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,1,3989,5.803960892
1820,OGG,6,22910,Kahului,Kahului,HI,USA,20.89864972,-156.4304578,1,1464,15.6489071
1775,MSY,9,22876,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,1,4211,5.432438851
